id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823,12.32902,Entire home/apt,225,6,162,2019-11-06,1.33,3,351
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845,12.32869,Entire home/apt,272,7,63,2019-09-24,0.64,3,342
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827,12.32764,Entire home/apt,122,4,184,2019-10-07,1.58,3,355
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221,12.33411,Private room,190,1,408,2019-10-05,3.62,2,292
27574,MINI APARTMENT 30 MT FROM GRAND CANAL,119219,Elisa,Isole,Santa Croce,45.44031,12.32313,Entire home/apt,94,2,254,2019-10-12,2.25,6,9
32261,"Venice, close to Biennale exhibition",139420,Maura,Isole,Castello,45.43451,12.3565,Entire home/apt,78,3,165,2019-10-27,1.60,1,345
33934,LOVELY APARTMENT IN THE CENTER,119219,Elisa,Isole,Cannaregio,45.4448,12.33121,Entire home/apt,103,2,133,2019-10-13,1.19,6,119
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44754,12.32918,Entire home/apt,300,2,70,2019-10-24,0.67,1,356
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43854,12.34959,Entire home/apt,200,5,5,2013-09-25,0.04,12,360
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43723,12.32451,Entire home/apt,120,1,17,2019-08-29,0.15,12,349
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43439,12.33509,Entire home/apt,400,1,57,2019-10-09,0.58,12,350
46158,Few steps from San Marco Square,198581,Laura,Isole,San Marco,45.43468,12.33613,Entire home/apt,200,1,11,2019-10-11,0.22,12,358
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44185,12.33355,Entire home/apt,200,3,12,2019-09-17,0.11,12,356
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846,12.33235,Hotel room,102,2,265,2019-10-23,2.38,4,340
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43541,12.3246,Entire home/apt,138,2,143,2019-08-06,1.46,2,124
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43505,12.32668,Entire home/apt,90,3,72,2019-11-01,0.84,2,289
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546,12.34636,Entire home/apt,130,1,8,2019-10-06,0.09,12,355
55968,Great canal view close to S.Marco,264845,Paola,Isole,Castello,45.43699,12.34741,Entire home/apt,100,3,80,2019-10-20,0.77,2,361
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44525,12.33166,Entire home/apt,150,3,47,2019-05-29,0.53,1,86
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43302,12.332,Entire home/apt,180,2,155,2019-09-15,1.49,1,289
60020,Bed and Breakfast (Website hidden by Airbnb),288785,Nicola,Isole,Santa Croce,45.44059,12.32952,Hotel room,80,2,26,2019-10-13,0.24,2,352
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44334,12.33483,Private room,90,1,144,2019-08-19,1.42,2,253
61714,B&B AL CANAL VENICE canal view,289023,Francesca,Isole,Giudecca,45.42817,12.3192,Private room,73,2,845,2019-11-01,7.98,3,321
63267,Appartamento con splendida vista sulla Laguna,308732,Cristina,Isole,Castello,45.43818,12.35032,Entire home/apt,110,3,10,2019-10-25,0.56,1,359
65926,APPARTAMENTO AL PERGOLO  CANAL VIEW,289023,Francesca,Isole,Dorsoduro,45.43108,12.32593,Entire home/apt,145,2,148,2019-10-21,1.72,3,321
69375,Armonia Apartment  Venice's flavour,347332,Guido,Isole,Cannaregio,45.44555,12.32155,Entire home/apt,130,3,24,2019-05-09,0.23,3,357
71460,COZY ROOM EASY TO GET VENICE AND AIRPORTS !,365995,Andre,Terraferma,San Lorenzo XXV Aprile,45.49249,12.24348,Private room,49,2,247,2019-10-13,2.39,2,365
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43482,12.33648,Entire home/apt,120,3,86,2019-11-06,0.84,3,318
71870,Biennale - Great & cosy flat,369617,Irene,Isole,Castello,45.42906,12.3582,Entire home/apt,90,3,207,2019-10-22,1.95,4,261
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44001,12.32552,Private room,120,1,52,2019-10-27,0.58,2,364
72000,"Unique green gem: private court, boat, concierge",370543,Diana,Isole,Castello,45.43006,12.35652,Private room,60,2,138,2019-10-27,1.32,1,350
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.507,12.28175,Entire home/apt,45,2,294,2019-11-03,2.84,5,289
74042,Low Cost Romantic Venice,9609304,Luca,Isole,Castello,45.43463,12.35122,Entire home/apt,69,3,519,2019-11-03,5.07,3,250
74272,Ca' Annalaura 2 with private court,390175,Monica,Isole,Castello,45.43476,12.34999,Entire home/apt,57,2,230,2019-10-12,2.22,2,343
74873,Al Campanile Madonna Dell'Orto: Apt BEIGE,394892,Hossep,Isole,Cannaregio,45.44699,12.33227,Entire home/apt,145,3,16,2019-05-26,0.20,4,351
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43569,12.33598,Entire home/apt,150,3,198,2019-10-27,2.00,6,331
75760,at Biennale Giardini - Cà Zaleta,402656,Luigi & Giovanna,Isole,Castello,45.43119,12.3571,Entire home/apt,125,2,215,2019-10-14,2.09,1,348
75994,San Bortolomio Apartment - WI FI,399883,Monica,Isole,San Marco,45.43669,12.336,Entire home/apt,150,3,104,2019-09-26,1.04,6,350
77188,Ca' Annalaura 1 with private court,390175,Monica,Isole,Castello,45.43385,12.34786,Entire home/apt,111,2,248,2019-10-24,2.46,2,306
77598,Ca' Gioiosa,416351,Italo,Isole,Dorsoduro,45.43103,12.31997,Entire home/apt,110,3,79,2018-08-09,0.86,2,356
77623,New! elegant suite with court in Cannaregio,289615,Valentina,Isole,Cannaregio,45.44554,12.3326,Entire home/apt,74,2,53,2019-10-28,0.51,66,55
77848,ALLELUIA 33 - INDIVIDUAL ACCOMMODATION WITH LIFT,119219,Elisa,Isole,Santa Croce,45.4396,12.32345,Entire home/apt,103,2,194,2019-10-14,1.88,6,57
78706,Al Campanile Madonna Dell'Orto: Apt. NERO,394892,Hossep,Isole,Cannaregio,45.44648,12.33248,Entire home/apt,135,3,33,2019-03-09,0.37,4,348
78833,Al Campanile: Loft ROSSO,394892,Hossep,Isole,Cannaregio,45.44648,12.33187,Entire home/apt,140,3,20,2019-06-30,0.20,4,331
79038,Al Giardino B &B minimun 2 Days,425369,Maurizio,Terraferma,Favaro,45.50878,12.2815,Private room,30,1,182,2019-05-14,1.76,4,333
79717,MINI LOFT WITH A ROOF BALCONY,119219,Elisa,Isole,Santa Croce,45.44015,12.32307,Entire home/apt,124,2,322,2019-10-23,3.07,6,0
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.43286,12.32043,Entire home/apt,115,3,38,2019-09-03,0.37,2,251
83368,Casa Granda in historical building,208909,Marta,Isole,San Polo,45.43678,12.32752,Entire home/apt,200,2,24,2019-11-03,0.57,2,317
