id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
77848,ALLELUIA 33 - INDIVIDUAL ACCOMMODATION WITH LIFT,119219,Elisa,Isole,Santa Croce,45.4396,12.32345,Entire home/apt,103,2,196,2019-12-09,1.87,6,106
78706,Al Campanile Madonna Dell'Orto: Apt. NERO,394892,Hossep,Isole,Cannaregio,45.44648,12.33248,Entire home/apt,135,3,34,2020-01-05,0.37,4,346
78833,Al Campanile: Loft ROSSO,394892,Hossep,Isole,Cannaregio,45.44648,12.33187,Entire home/apt,140,3,20,2019-06-30,0.20,4,331
79038,Al Giardino B &B minimun 2 Days,425369,Maurizio,Terraferma,Favaro,45.50878,12.2815,Private room,30,1,182,2019-05-14,1.72,4,364
79717,MINI LOFT WITH A ROOF BALCONY,119219,Elisa,Isole,Santa Croce,45.44015,12.32307,Entire home/apt,124,2,324,2019-11-03,3.03,6,10
80403,Elegant apartment with privatgarden,434492,Lucia,Isole,Dorsoduro,45.43286,12.32043,Entire home/apt,115,3,38,2019-09-03,0.37,2,292
83368,Casa Granda in historical building,208909,Marta,Isole,San Polo,45.43678,12.32752,Entire home/apt,200,2,24,2019-11-03,0.54,2,332
83610,GRANDIBEN: Biennale at your fingertips,434231,Magda,Isole,Castello,45.43513,12.34894,Entire home/apt,120,3,5,2019-05-10,0.06,1,362
90053,Cozy flat in Venice (Lido),485439,Elisabetta,Isole,Lido,45.40769,12.36549,Entire home/apt,130,6,5,2015-05-15,0.05,2,354
91525,DIVYA - 1st class apartment ,494255,Rosa,Isole,Santa Croce,45.43992,12.33035,Entire home/apt,200,3,23,2019-07-12,0.25,3,311
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.4275,12.31935,Private room,60,2,265,2019-11-17,2.54,3,351
95980,22 Marzo by St. Mark's Square - 1-BR Apt,510349,Roberta,Isole,San Marco,45.43278,12.33494,Entire home/apt,150,2,187,2019-11-09,1.80,3,364
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44394,12.32904,Entire home/apt,129,3,82,2020-01-05,2.02,1,189
103249,Quiet and style in Venice,208909,Marta,Isole,San Polo,45.43723,12.32718,Entire home/apt,130,2,309,2019-11-14,4.67,2,326
108271,SHORT HOLIDAYS  IN VENICE FREE WIFI,560277,Vera,Terraferma,Marghera,45.47201,12.22439,Private room,36,2,326,2019-11-04,3.49,1,347
109278,Villa ai Tigli - Entire Villa's rooms,564594,Eliana,Terraferma,Tessera,45.5035,12.32084,Private room,260,1,15,2019-06-24,0.14,6,320
110388,"Lovely private room in Venice, close to Biennale",567508,Nicola,Isole,Castello,45.432,12.356,Private room,45,2,257,2019-12-16,2.44,10,68
118751,NEAR THE TRAIN STATION,119219,Elisa,Isole,Santa Croce,45.44086,12.32321,Entire home/apt,83,2,281,2019-10-23,2.68,6,10
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40562,12.36547,Entire home/apt,300,9,6,2017-10-30,0.06,2,351
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.43921,12.32146,Private room,95,3,251,2020-01-02,2.47,2,355
