id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,61,1,4,2015-09-12,0.04,1,365
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76651,144.98074,Private room,35,2,141,2019-12-28,1.66,1,186
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85976,144.97737,Entire home/apt,158,3,40,2020-01-05,0.35,10,75
16760,Melbourne BnB near City & Sports,65090,Colin,,Port Phillip,-37.86453,144.99224,Private room,69,1,84,2019-12-28,0.85,1,22
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,99,1,137,2019-12-21,1.23,1,351
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,50,7,161,2019-09-19,1.45,3,0
43414,Home In The City,189682,Belinda,,Melbourne,-37.81027,144.98592,Private room,99,15,5,2019-07-21,0.21,1,61
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,98,2,204,2019-12-07,1.84,2,269
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,59,3,43,2019-12-28,0.40,6,339
47100,Très Charming in Fabulous Richmond,212071,Loren,,Yarra,-37.81804,145.00442,Entire home/apt,99,5,178,2019-10-17,1.57,4,0
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,249,2,237,2019-12-25,2.19,1,323
51817,Stay in lovely bayside Elwood!,235341,Bree,,Port Phillip,-37.87629,144.98964,Entire home/apt,89,3,71,2020-01-03,0.69,1,16
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82092,144.99384,Entire home/apt,138,3,65,2019-12-27,0.60,10,80
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,170,2019-12-14,1.57,1,339
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93206,145.0146,Entire home/apt,300,1,0,,,1,0
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78784,145.00548,Entire home/apt,180,2,1,2016-01-10,0.02,1,352
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14931,145.1419,Private room,59,3,34,2019-11-21,0.48,6,348
70328,AWESOME BEACH HOUSE BnB -,356006,Raewyn,,Kingston,-38.00546,145.08541,Private room,71,1,116,2019-12-01,1.08,1,250
72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",376675,Ramona,,Yarra,-37.80689,144.97946,Private room,130,3,511,2019-12-23,4.79,2,149
74548,City Location-Perfect for Singles,392505,Mario,,Melbourne,-37.8155,144.95894,Private room,69,1,423,2020-01-04,3.94,1,307
