id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9594928,Modern 3 level Townhouse,4549797,Eli,,Yarra,-37.8123,145.00103,Entire home/apt,250,2,1,2016-04-25,0.02,1,0
9594971,Massive Master Room w/ a Balcony,4393157,Winnie,,Yarra,-37.81581,145.01312,Entire home/apt,119,1,1,2015-12-12,0.02,1,0
9595042,2 B/r period home that people love!,49660517,Andrew,,Port Phillip,-37.83909,144.9624,Entire home/apt,135,1,41,2020-01-06,0.82,1,0
9595060,Penthouse Rooftop Apartment,49660999,David,,Moreland,-37.76289,144.96167,Entire home/apt,231,2,143,2020-01-26,3.62,1,273
9595209,Pull out bed in common area,143242,Alison,,Yarra,-37.80036,144.98166,Shared room,80,1,2,2016-02-27,0.04,1,0
9595259,Melbourne stylish private bungalow,4430580,Taylor,,Monash,-37.86429,145.0952,Entire home/apt,92,1,192,2020-02-14,3.74,1,253
9595833,Modern City Living at a Heritage Fitzroy Flat,42731922,Steve,,Yarra,-37.80051,144.97926,Entire home/apt,165,3,184,2020-02-10,3.78,1,282
9596338,Home away from home -Amazing location & views,48515038,Sharon,,Yarra,-37.79933,144.97823,Entire home/apt,144,1,125,2020-01-05,2.49,1,0
9596926,2 Bedroom Apartment - Collingwood,27347868,Brent,,Yarra,-37.8036,144.98436,Entire home/apt,220,1,1,2016-01-03,0.02,2,0
9597361,Spectacular views of the bay & city,45858394,Jason,,Port Phillip,-37.85985,144.97086,Entire home/apt,176,14,7,2016-11-29,0.14,1,0
9598139,Hotel Apartment/Pool/SPA/GYM/CBD,49676893,Peng,,Melbourne,-37.82426,144.96241,Private room,88,2,4,2016-12-02,0.08,3,0
9598414,Sunny with terrace for female,2306223,Roberta,,Moreland,-37.77776,144.95932,Private room,39,2,0,,,1,0
9598660,CBD cool private bedroom,49677588,Mateus,,Melbourne,-37.81639,144.95373,Private room,74,5,1,2015-12-19,0.02,1,0
9598972,"CDB Share room, Double bed",49680332,Luis,,Melbourne,-37.81699,144.95248,Shared room,48,5,1,2015-12-19,0.02,1,0
9599297,Artistic Dreamland - Van Gogh Themed Rooftop @ CBD,49681711,Rebecca And Mingze,,Melbourne,-37.8178,144.95802,Entire home/apt,107,1,52,2020-01-28,6.53,1,94
9600502,Paris Type Loft (Coburg),45624751,Glenda,,Moreland,-37.73784,144.96963,Entire home/apt,155,3,2,2016-06-13,0.04,1,0
9601604,"River view 2BR apt+garage+SPA+gym, MCEC,Crown*****",9255960,Poly,,Melbourne,-37.82267,144.95235,Entire home/apt,176,2,249,2020-02-03,4.90,1,110
9612810,SPACIOUS 1BR CBD APT + LARGE BALCONY,49735767,Simon,,Melbourne,-37.81625,144.95325,Entire home/apt,109,2,107,2020-01-20,2.13,1,177
9612990,The Best of Fitzroy and Collingwood,27138079,Ben,,Yarra,-37.79592,144.98518,Entire home/apt,100,2,1,2016-01-06,0.02,1,0
9612993,Explore St Kilda from a Family Friendly Art Deco Apartment,4895823,Adam & Claudia,,Port Phillip,-37.86796,144.98203,Entire home/apt,135,3,120,2020-02-08,2.69,1,116
9613666,Private Room w/ Shared Bathroom - 2,4695256,Nando,,Hume,-37.67914,144.8966,Private room,40,1,223,2020-01-28,4.43,7,26
9613895,Home in the Hills,9341815,Robin And Sue,,Yarra Ranges,-37.80136,145.39546,Entire home/apt,110,1,63,2020-02-03,1.24,1,299
9614642,Easy Modern Living & Commuting,49743989,Melissa,,Whitehorse,-37.82548,145.17593,Entire home/apt,180,4,5,2017-12-28,0.10,2,0
9615307,Light filled apartment - Prahran,49746770,George,,Stonnington,-37.85051,145.00898,Entire home/apt,225,3,1,2015-12-07,0.02,1,0
